OBJECT_NAME,OBJECT_ID,NORAD_CAT_ID,OBJECT_TYPE,OPS_STATUS_CODE,OWNER,LAUNCH_DATE,LAUNCH_SITE,DECAY_DATE,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS,DATA_STATUS_CODE,ORBIT_CENTER,ORBIT_TYPE
PSLV DEB,2001-049QB,35343,DEB,D,IND,10/22/2001,SRILR,6/12/2013,93.11,98.61,431,423,0.0063,,EA,IMP
PSLV DEB,2001-049QC,35344,DEB,,IND,10/22/2001,SRILR,,97.81,97.84,688,620,0.0055,,EA,ORB
PSLV DEB,2001-049QD,35345,DEB,D,IND,10/22/2001,SRILR,11/20/2023,97.93,98.22,699,621,0.0044,,EA,IMP
PSLV DEB,2001-049QE,35346,DEB,,IND,10/22/2001,SRILR,,96.43,98.86,601,575,0.0132,,EA,ORB
PSLV DEB,2001-049QF,35347,DEB,D,IND,10/22/2001,SRILR,4/30/2020,88.99,98.33,233,216,0.0012,,EA,IMP
PSLV DEB,2001-049QG,35348,DEB,D,IND,10/22/2001,SRILR,5/13/2025,91.67,98.1,358,355,0.0134,,EA,IMP
PSLV DEB,2001-049QH,35349,DEB,D,IND,10/22/2001,SRILR,12/21/2022,92.77,97.44,418,403,0.0055,,EA,IMP
PSLV DEB,2001-049QJ,35350,DEB,,IND,10/22/2001,SRILR,,98.95,98.54,754,662,0.0078,,EA,ORB
PSLV DEB,2001-049QK,35351,DEB,,IND,10/22/2001,SRILR,,98.35,98.82,683,677,0.0123,,EA,ORB
PSLV DEB,2001-049QL,35536,DEB,,IND,10/22/2001,SRILR,,104.48,98.67,1271,669,0.0131,,EA,ORB
PSLV DEB,2001-049QM,35537,DEB,,IND,10/22/2001,SRILR,,100.16,98.2,831,701,0.0002,,EA,ORB
OCEANSAT-2,2009-051A,35931,PAY,+,IND,9/23/2009,SRILR,,102.88,98.22,907,883,4.0639,,EA,ORB
PSLV DEB,2001-049QN,36293,DEB,D,IND,10/22/2001,SRILR,7/19/2022,98.19,97.84,754,591,0.013,,EA,IMP
CARTOSAT-2B,2010-035A,36795,PAY,+,IND,7/12/2010,SRILR,,97.38,97.79,642,624,2.249,,EA,ORB
STUDSAT,2010-035B,36796,PAY,-,IND,7/12/2010,SRILR,,95.81,98.11,565,550,0.127,,EA,ORB
PSLV R/B,2010-035F,36800,R/B,,IND,7/12/2010,SRILR,,95.33,97.98,545,525,8.685,,EA,ORB
PSLV DEB,2010-035G,36801,DEB,D,IND,7/12/2010,SRILR,11/17/2019,87.1,98.03,137,125,2.436,,EA,IMP
RESOURCESAT-2,2011-015A,37387,PAY,+,IND,4/20/2011,SRILR,,101.29,98.79,824,816,5.5918,,EA,ORB
YOUTHSAT,2011-015B,37388,PAY,+,IND,4/20/2011,SRILR,,101.02,98.35,818,796,0.688,,EA,ORB
